0	126
1	172
2	119
3	29
4	321
5	332
6	210
7	250
8	538
9	860
10	608
11	1013
12	1022
13	919
14	987
15	1700
16	1155
17	1337
18	1032
19	1482
20	1300
21	2095
22	1682
23	1951
24	2637
25	1846
26	2724
27	1933
28	2174
29	2030
30	2287
31	2459
32	2903
33	3375
34	3699
35	3198
36	3253
37	4941
38	3729
39	3196
40	4136
41	3236
42	3549
43	3759
44	3534
45	5527
46	5019
47	3603
48	3845
49	5269
50	4827
51	6061
52	5095
53	5367
54	4883
55	5158
56	5172
57	5499
58	5453
59	5767
60	6073
61	6355
62	5664
63	5842
64	5870
65	5478
66	5121
67	6747
68	6692
69	6964
70	7248
71	7085
72	8509
73	6919
74	6120
75	6756
76	7479
77	7513
78	8378
79	7591
80	7618
81	7361
82	9322
83	7556
84	8424
85	8510
86	7720
87	8747
88	8829
89	8850
90	8961
91	8660
92	9354
93	9992
94	10695
95	8813
96	9383
97	8676
98	9540
99	9284
100	10299
101	10549
102	10292
103	10319
104	10942
105	10071
106	11214
107	10736
108	11298
109	10605
110	10081
111	11269
112	11655
113	11688
114	13370
115	10984
116	11019
117	11583
118	11774
119	12101
120	12234
121	11707
122	12417
123	12204
124	13119
125	11905
126	12978
127	11861
128	12147
129	13290
130	13385
131	12886
132	12458
133	12786
134	13707
135	13037
136	13621
137	13358
138	13496
139	13285
140	13066
141	12823
142	13757
143	13536
144	14022
145	14424
146	13851
147	13594
148	14710
149	13781
150	14747
151	15582
152	14131
153	14156
154	15252
155	13928
156	15970
157	14842
158	14896
159	14595
160	15522
161	15074
162	14758
163	14913
164	15049
165	15639
166	15689
167	15696
168	15753
169	15783
170	15791
171	15279
172	15546
173	17012
174	16483
175	15869
176	15395
177	15441
178	16093
179	16285
180	17011
181	15972
182	16055
183	16237
184	16788
185	16782
186	17296
187	16883
188	17070
189	16569
190	17115
191	17210
192	17790
193	17931
194	17991
195	17579
196	17608
197	17698
198	18008
199	18021
